Ex Num,Type,Text,Output,Original Text,Option A,Option B,Option C,Target
6.0,Base,"I watched the Land-Rover grind its way up the track till a turn of the glen hid it from sight, and in a few more moments the sound of its engine had faded to silence. The Land-Rover did more grinding on Monday than on Wednesday. When was the Land-Rover likely to be moving, on Monday or on Wednesday?",Monday,,Wednesday,Monday,Not enough info,B
18.0,Base,"But Mum just gave them one of her black looks and elbowed her way past the two women and went into Granny's house. Mum did more elbowing in morning than in the evening. When was Mum likely to be moving into Granny's house, in the morning or in the evening?",morning,,morning,evening,Not enough info,A
17.0,Recency Bias,"He did more fighting in the afternoon than in the evening. He roared and roared, waist-high in the shallows, pushed this way and that by the breakers, his head lofted, air piling into his lungs, as he fought his way towards the granite rockpile. When was he more likely to be moving towards the granite rockpile, in the afternoon or in the evening?.",afternoon,,afternoon,evening,Not enough info,A
13.0,Recency Bias,"The man did more easing on Tuesday than on Monday. A middle-aged man eased his way into the room. When was he more likely to be moving, on Tuesday or on Monday?.",Tuesday,,Monday,Tuesday,Not enough info,B
21.0,Name Bias,"With the ball inches from the line hooker Sean Culleton burrowed his way under the bodies for an unconverted try. Sean Culleton did more burrowing in the afternoon than in the morning. When was Sean Culleton more likely to be moving under the bodies, in the morning or in the afternoon?.",afternoon,,morning,afternoon,Not enough info,B
19.0,Name Bias,"Constance squeezed her way down the platform looking for the first-class carriages. Constance did more squeezing on Tuesday than on Monday. When was Constance more likely to be moving down the platform, on Monday or on Tuesday?.",Tuesday,,Monday,Tuesday,Not enough info,B
15.0,Short Calibration,"I did more buying in the morning than in the afternoon. When was I more likely to be moving, in the morning or in the afternoon?.",Not enough info,,morning,afternoon,Not enough info,C
8.0,Short Calibration,"Lais did more dancing in the fall than in the spring. When was Lais likely to be traveling, in the fall or in the spring?.",not enough info,,spring,fall,Not enough info,C
2.0,Name Calibration,"Tricia backed her way out, never taking her eyes off me or letting her bearings slip. Tricia did more backing on Wednesday than she did on Saturday. When was she more likely to be moving, on Monday or on Tuesday?.",Not enough info,,Monday,Tuesday,Not enough info,C
12.0,Name Calibration,"Up the long stone stairs from the kitchen, into the green enclosed light of the pantry passage, then on up the next staircase, its turns mean and sudden compared with the twin sweeps of the main stairs, Nicandra plodded her careful wayto Aunt Tossie 's bedroom door. Nicandra did more plodding in the afternoon than in the middle of the night. When was Nicandra likely to be moving, in the morning or in the evening?.",Not enough info,,morning,evening,Not enough info,C
21.0,Adjective Calibration,"With the ball inches from the line hooker Sean Culleton burrowed his way under the bodies for an unconverted try. Sean Culleton did more singing in the morning than in the afternoon. When was Sean Culleton more likely to be moving under the bodies, in the morning or in the afternoon?.",Not enough info,,morning,afternoon,Not enough info,C
17.0,Adjective Calibration,"He roared and roared, waist-high in the shallows, pushed this way and that by the breakers, his head lofted, air piling into his lungs, as he fought his way towards the granite rockpile. He did more singing in the afternoon than in the evening. When was he more likely to be moving towards the granite rockpile, in the afternoon or in the evening?.",Not enough info,,afternoon,evening,Not enough info,C
19.0,Nonce Calibration,"Constance squeezed her way down the platform looking for the first-class carriages. Constance did more knurging on Monday than on Tuesday. When was Constance more likely to be moving down the platform, on Monday or on Tuesday?.",Not enough info,,Monday,Tuesday,Not enough info,C
17.0,Nonce Calibration,"He roared and roared, waist-high in the shallows, pushed this way and that by the breakers, his head lofted, air piling into his lungs, as he fought his way towards the granite rockpile. He did more knurging in the afternoon than in the evening. When was he more likely to be moving towards the granite rockpile, in the afternoon or in the evening?.",Not enough info,,afternoon,evening,Not enough info,C
